obs st co expen wealth    pop    pint dens income   id  growr
467 36 26   251  43560  26725    16.2  840  19086 8850   11.7
468 36 26   276  34053   3196    20.2  108  16575 9040    2.3
469 36 27   134  40138   4015    13.2  147  13228  210    6.0
470 36 27   126  27114   1457    29.5   35  12352 1200   -2.6
471 36 27   332  29973   1126    30.6   26  10496 1450    9.3
472 36 27   283  38236   2649    21.4   53  11272 2910    2.3
473 36 27   223  40621   1219    24.3   32  10371 3300    7.7
474 36 27   120  23690   2032    27.6   41   9051 5360   -5.9
475 36 27   128  26699   3005    25.1   88  10857 5400    6.5
476 36 27   212  22965   1733    35.0   44  11423 6350   11.4
477 36 27   205  23348   1670    34.4   33  10699 7210   -6.1
478 36 27    97  27394    920    35.5   57   9459 7360  -13.0
479 36 28   257  72887 471283    15.0 5423  21457 3860   -3.4
480 36 28   237 147431  88153    11.4 6252  34775 5970   -3.9
481 36 28   361  93112 233377     9.0 3795  25802 6340   -5.2
482 36 29   193  29498   4851     6.8  122  13447 1120    8.1
483 36 29   326  22451   3872    18.9   74  12106 3790   -4.7
484 36 29   282  32427  12307     5.0  341  15996 4640   -3.8
485 36 29   231  24746  17327     4.1  388  13237 4810   28.2
486 36 29   270  23332   8942     6.8  173  12756 5720   -2.9
487 36 29   200  23204   9926     3.7 1056  12229 5840    2.4
488 36 29   237  30097   5067     8.4  186  16118 6480    6.0
489 36 29   224  31964   5030     8.0  157  14773 6810   -0.5
490 36 29   207  27075   5538     8.5   80  12553 7280   -3.3
491 36 29   460 356040   2070    20.7   56  12600 7860   -3.7
492 36 29   265  34072  11428     7.2  410  13561 9030   15.8
493 36 29   155  25119   4438    10.2   91  12625 9160   -1.7
494 36 30   219  22808   2865    20.8   48   8431  260   16.6
495 36 30   270  27129   1274    27.1   47  10432  380   -0.2
496 36 30   257  18875    818    24.5   22   8881  430   19.3
497 36 30   147  35350   2081    18.4   30  10471  820   15.8
498 36 30   193  21447   1089    18.3   47   9818  900   20.2
499 36 30   113  23278   2647    26.1   51  12360 1140   14.3
500 36 30   185  33679   3944    12.0  120  13543 2230    0.2
501 36 30   283  28180    885    17.6   16   9092 2900   23.8
502 36 30   210  21467   3855    23.9  111  12031 2920   -0.2
503 36 30   355  80813   1591    32.7   21  11061 2940   12.8
504 36 30   303  32431   7853    10.7  237  14863 4410   -3.8
505 36 30   119  23620   7160    14.9  158  12462 4550    3.2
506 36 30   157  22638   9131     5.7  277   8161 5110   34.5
507 36 30   261  27595   2124    37.4   65  12346 5150   -0.3
508 36 30   241  44191  19640     8.9  792  17394 5740    2.9
509 36 30   240  26318   3946    19.7  128  13394 6390   -0.7
510 36 30   256  30201   1267    25.6   36  10157 7050   23.0
511 36 30   254  48991    810    22.8   27  11067 7440    9.8
512 36 30   306  25475   1028    29.6   24  11004 8060   12.2
513 36 30   209  33204   3794    14.4   89  13515 8320   17.0
514 36 30   185  27935   3426    24.4   93  12678 8530    5.0
515 36 30   183  26876   6416    26.6   93  11837 8540   -3.3
516 36 30   163  25482   4543    22.5   75  11582 8590   12.4
517 36 30   274  33763   2078    19.0   40  13952 8910    5.3
518 36 30   152  24946   5793    24.2  134  12822 8950    5.1
519 36 30   331  39733   6732    57.0  286  18375 9080   -7.0
520 36 31   289  32793  22363    14.3  656  16131 1160   -2.4
521 36 31   132  32655  25942    12.9  535  14378 1610    8.1
522 36 31   118  30196  53890    13.3 1172  15131 1700   16.8
523 36 31   319  80038  21475    10.5  665  20701 2330   -7.0
524 36 31   216  33532   3695    38.0  104  12606 2590    6.8
525 36 31   217  45397   1451    30.0   31  14545 2790    0.4
526 36 31   308  39835  10874     9.2 1431  15233 3170   -3.8
527 36 31   184  33410   5228    15.0  133  15544 4450   13.7
528 36 31   136  39201  10216    25.9  174  18088 4930   30.9
529 36 31   227  51664  18491    13.8  411  22442 5060   19.8
530 36 31   122  34999   4688    11.5  147  15652 5100    7.3
531 36 31   150  35076  18510    12.4  321  16553 6110    3.2
532 36 31   207  35926   2284    19.7   77  12994 6260    6.8
533 36 31   182  42049   5482    22.2   83  18450 6790   18.4
534 36 31   191  32318  32115     7.9 2470  15130 7390   -5.9
535 36 31   212  60197   4761     9.6  115  18016 7780   -4.1
536 36 31   273  67733   1691    17.0   52  15533 7930    4.9
537 36 31   224  67520   1488    22.7   59  17032 8360    7.9
538 36 31   140  24026  13523    12.6  380  15139 8490    6.2
539 36 32   324  36738   2125    33.5   58  14254  930   14.9
540 36 32   283  51888   1935    15.1   65  13553 1190   26.6
541 36 32   283  60926   7380    17.0  130  16359 1210   18.2
542 36 32   263  46145   1955    23.1   61  14427 2460    7.8
543 36 32   193  28111  10671     7.1  270  14920 2830   16.2
544 36 32   202  49284   2945     9.6  154  15542 3210   -3.6
545 36 32   304  69277   2856    16.5   59  12973 3320   -5.3
546 36 32   217  31005   3117    12.2   88  12203 4000   20.2
547 36 32   109  24473   4192    24.4  121  13953 5040   13.8
548 36 32   269  37277   1364    30.0   35  12636 5590   18.8
549 36 32   155  32715   4822    19.9   76  14036 6580    5.6
550 36 32   253  50327   3335    19.5   79  13130 7110   19.5
551 36 32   246  28558   2747    42.3   54  13199 7640   -0.1
552 36 32   490  93401   1755    17.0   45  15701 7880   38.0
553 36 32   327  72662   5177    19.3  150  19909 8570   43.0
554 36 32   166  29926   2587    27.8  101  15102 8890   11.2
555 36 33   238  52150  12129     6.3  375  16540  780   18.2
556 36 33   258  75333   6054     8.3  262  17989 1570   18.8
557 36 33   284  66917   8290     9.7  334  17622 2020    7.5
558 36 33   270  53539   6691    11.4  167  14109 2090   30.2
559 36 33   153  36446   8272    17.7  125  12122 2240   39.0
560 36 33   171  87969   6376    14.8  156  14674 3330   11.7
561 36 33   233  59664   3327    13.7  110  14390 3480   49.6
562 36 33   203  77715   4103    17.0  154  16539 3670   32.8
563 36 33    99  11078   9713    10.9  326   8724 3920   -0.9
564 36 33   181  61726   2537    16.8  111  13077 5390   27.1
565 36 33   159  55067   9338     8.8  599  16726 5420   30.0
566 36 33   194  75600   7282    13.9  159  14956 5450    8.7
567 36 33   180  34463   5183     8.8  212   9645 5540   42.0
568 36 33   375  91526  24320     7.4  557  17294 5690    5.8
569 36 33   275  46216  23618     5.5  679  15320 5830   17.4
570 36 33   926 155034   2328     6.1   52  30610 8400    2.5
571 36 33   297  60362  23523     7.2  378  14294 8650   12.4
572 36 33   237  78908  16225    24.7  170  19044 8730   30.3
573 36 33   193  58207   5762    12.3  165  15320 8810   28.4
574 36 33   506  91773   5998     4.4  170  18208 9230    4.4
575 36 34   379  29564   2079    29.6   38  11716  520   -3.3
576 36 34   187  38190   2806    16.5   64  13772 1280   -0.4
577 36 34   238  26827   2816    21.7   80  12307 1650   25.9
578 36 34   128  19648   3092    20.6   90   9937 3100   12.4
579 36 34   183  32531   2845    27.1   86  12885 4350   16.0
580 36 34   106  26693   3063    28.3  103  12628 5570    5.5
581 36 34   112  16699   5539    26.2  120  10298 7710    2.8
582 36 34   301  31552   1547    17.7   42  10838 9290    0.8
583 36 35   218  20591   1772    26.8   39  10226   60   23.4
584 36 35   322  22781   1045    28.1   28   8700  170   20.8
585 36 35   635  36695    454    36.6   12  11416  850   13.6
586 36 35   118  26273   4209    19.8   75  11915 1980   18.1
587 36 35    96  19214   7147    25.2  159  12727 3360   10.6
588 36 35    90  16626   4134    38.5   95  10060 3690   19.6
589 36 35   126  22861   6595    17.7  150  11950 3820   13.5
590 36 35   180  24229   3560    21.8   81  12763 5250   10.3
591 36 35   224  34103   1805    11.7  311  16305 5380   -4.4
592 36 35   157  21431   2849    27.0   91  12634 5750   14.7
593 36 35   544  47522   1199    16.5   30   7780 6190   13.6
594 36 35   129  17080   8059    13.9  294   8840 6240    2.1
595 36 35   109  19005   3648    25.9   90  11587 6360   10.1
596 36 35   158  19170   2015    25.0   50  13375 6400   19.2
597 36 35   511  40836    585    36.3    6   8846 7020   22.9
598 36 35   153  29418   3435    21.7   64  11282 7100    6.7
599 36 35   198  46697   2100    27.3   53  11858 7420    8.3
600 36 35   115  25483   6663    13.5  162  11451 7550   14.8
601 36 35   374 448200   6675    22.7  164  12143 7620   18.6
602 36 35   170  44113   5740    16.0  119  11883 8620    5.9
603 36 35   135  19196   4575    18.6  136  10636 8940   26.2
604 36 35   248  20185   1333    31.0   34   8807 9110   26.9
605 36 36   281  31006   1034    11.1   23   9838 1020   -0.9
606 36 36   276  44514   1279    18.4   24  11098 1060   20.1
607 36 36   381  50881    607    14.9   15  11128 1560   13.8
608 36 36   547  46298    365    33.2   18  10101 2220   14.1
609 36 36   214  31485   1714    20.3   38  10327 2560   -0.9
610 36 36   187  31732    967    28.9   30   9674 2780   -0.1
612 36 36   152  28135   2102    23.6   49  11283 4510   12.7
613 36 36   224  40338   1231    22.1   24  11500 5170   13.0
614 36 36   206  48547   2303    49.8   36  11942 5280   19.3
615 36 36   174  39340   2425    15.1   53  13063 5320    9.8
616 36 36   215  36706   1154    19.2   30  12570 5520    4.2
617 36 36   294  40676   1006    21.9   23  10377 5780    5.1
618 36 36   270  42106   5025    14.8  150  13009 6100    6.6
619 36 36   153  31294   2130    14.9   49  11971 6250   20.3
620 36 36   329 113025   1768    52.2   34  17909 6270    4.9
621 36 36   289  29369   1126    17.2   30   9060 6680    4.6
622 36 36   173  26222    851    33.9   29   9701 6710    0.4
623 36 36   126  47900   1166    10.6   39  11130 7080    9.5
624 36 36   244  43662    676    27.3   20   8915 7230    6.0
625 36 36   388  54568   1273    19.8   30  11756 7960    2.3
626 36 36   124  27873   3163    20.3   70  11276 8450   16.0
627 36 36   402  46974    630    24.3   19   9980 8930   -2.8
628 36 36   271  31796   2085    22.7   45  10457 9260    3.9
629 36 37   340  78855  28990     9.1  803  20817 1290    3.1
630 36 37   454  71307  13333     4.9  328  19677 4360    6.0
631 36 37   291  73138   8965     7.2  278  16702 6430   19.8
632 36 37   301 127047   6705    14.8  142  21653 6600    3.6
633 36 37   564 110623   9114     5.2  220  19736 6960    1.1
634 36 37   168  98601  14080    11.4  446  19976 7890   36.8
635 36 38   208  45423   1976    16.0   33  12462  670   13.7
636 36 38   197  40790  11117     9.8  250  17377  990    1.1
637 36 38   295  41265  14309     5.4  594  17361 2490    9.0
638 36 38   258  42224   1967    17.5   44  14483 3350   15.1
639 36 38   172  49224   3223    17.6   53  12078 3980    2.7
640 36 38   199  41669   3843    13.5   88  13224 5610   16.9
641 36 38   176  35675  10990    12.9  585  15611 5950    4.8
642 36 38   311  40182   1479    13.2   37  12116 6560    6.7
643 36 38   180  30109   5060    14.8   83  12677 6700   13.7
644 36 38   159  35117   3838    14.5  118  14961 6760    4.0
645 36 38   193  35813   7766     5.0  221  15668 7410    8.8
646 36 38   136  33451   6853    14.2  139  14051 7520    5.7
647 36 38   254  39562  10474    16.7  171  16733 7530    6.5
648 36 38   181  53086   2619    15.0   45  13766 8040   24.1
649 36 39   554  78704  77677     5.0 2088  23282 1670    2.8
650 36 39   331  99585  14120     8.2  747  20342 3830    1.0
651 36 39   568  98464  34077     7.0 1556  23410 6150   -4.5
652 36 39   620  80335  29571     8.0 1016  18606 6980  -33.5
653 36 39   406  88828  12809     7.2  461  18623 8130   -0.2
654 36 40   264  18323   2074    31.5   23   9962  890  -10.6
655 36 40   119  19676   4479    18.0   44  10815 1250    6.5
656 36 40  1842 186869     69    28.3    1  10832 1630  -35.5
657 36 40   651  95708    899     8.1    7  10962 1730   -8.8
658 36 40   678 102406   1270    11.4    5  12040 1880   -1.4
659 36 40   236  22247   1852    22.4   23   8482 2250    2.7
660 36 40   239  13561    912    26.0   21   6025 2300   -0.4
661 36 40   486  28084    586    30.0   12   9835 2570   -7.9
662 36 40   421  45992   1727    10.0   10  10272 2870  -19.2
663 36 40   360  30331   1918    16.9   32   9063 2980    9.5
664 36 40   134  28464   2388    21.5   34  10565 3340    1.6
665 36 40   288  68270    914    23.1   15   9849 3650    9.6
666 36 40   363  31455    642    22.4   12   8825 3900    6.9
667 36 40   440  50236    936    16.1    5   9653 4010  -10.1
668 36 40   260  17900   1488    28.8   31  10572 4520   -8.6
669 36 40   245  19417   3786    16.5   35  10468 4720    5.6
670 36 40   179  21577   3059    12.4   63  12375 4850    3.2
671 36 40   505  37243    785    24.0   13   8388 4960   -3.2
672 36 40   521  22450   1511    17.5   29   9788 4980  -15.3
673 36 40  1184  83842   2127     8.0   50   7716 5190    5.1
674 36 40   289  48806   1543    15.1   34  10345 5530    4.7
675 36 40   199  20850   4111    16.2   75  10605 5880  -14.7
676 36 40   232  30027   3286    16.2   51  11037 6230    3.3
677 36 40   492  48321   1891    19.4   19  10021 6410   -2.6
678 36 40  1005 144084    269     8.6    3  11118 6610  -21.9
679 36 40   241  28323   2409    17.6   40  12611 6620    7.6
680 36 40   278  26725    743    23.0   13  12228 6660   -5.2
681 36 40    92  32340   4701    21.8   49  15675 6840   -3.0
682 36 40   302  21751    756    34.3   20   8566 7250   -8.6
683 36 40   284  16775   1732    28.4   18   8135 7310    4.8
684 36 40   179  14729   3504    34.6   37   9875 8090   -3.9
685 36 40   242  30393   1028    26.9   21  11763 8630   -7.9
686 36 41   164  41117   8151    13.2  275  16219  490    4.7
687 36 41   170  44267   3977    21.9  121  19313 1470   -0.9
688 36 41   258  54233  31343    14.1  645  20495 1740   25.5
689 36 41   232  31860   3307    13.7   59  10586 2000   26.3
690 36 41   766 174051    764     8.4   12  10410 2200   13.7
691 36 41   405 174383   1024    26.7   17  10170 2550   -7.5
692 36 41   263  53365   3183    18.2   73  13849 3140   12.3
693 36 41   243  36461   6585    16.7   98  13000 3440   24.2
694 36 41   456  43637   1683     9.5   42  11196 3570   20.5
695 36 41   198  38031  14283     7.1  438  16406 3600   17.0
696 36 41   135  38176  11897    18.5  442  16137 5010   77.2
697 36 41   112  30479  10032    15.1  295  12577 5340   19.1
698 36 41   191  35991   9924     8.0  243  11860 5490   27.3
699 36 41   167  27985   3828    19.8  118  11615 6010   33.4
700 36 41   309  38347   1390    15.5   32  11074 6930   12.4
701 36 41   117  41052   3195    17.1   80  11912 7470   12.9
702 36 41   188  36027   5894    33.7  147  13013 8070   20.2
703 36 41   195  41694   6632    13.7 1053  13797 8750   32.1
704 36 41   198  38399  11303    31.7  315  13318 9170   47.1
705 36 42   174  37452   5279    22.7   75  14535 2420   19.4
706 36 42   226  45947  21447    13.9  445  17098 3310    0.8
707 36 42   369  56980  19363     9.1 1373  23312 5870    9.0
708 36 42   109  47818   2076    18.3   86  15519 6920   12.6
709 36 42   341  44312  28184    13.0  783  14691 7260   -3.6
710 36 43  1024  75335    340    19.3   10  12195  770   13.7
711 36 43   387  53100    959    24.2   20  11236  970   21.7
712 36 43   200  29503   1723    18.1   50   9902 1270   18.0
713 36 43    72  43234   2047    19.0   74  13107 1780   12.7
714 36 43   567  74021    685    46.9   17  12233 1930    0.4
715 36 43    68  22506   1817    17.1   95  11410 2750   12.7
716 36 43   268  41819   1538    22.6   24   9091 3090    8.6
717 36 43   416  95515   1233    15.4   21  12607 3290   12.0
718 36 43   341  56999   1206    24.8   28  10951 4280    7.4
719 36 43   179  38188   1908    13.9   40  10983 5260   14.7
720 36 43   196  39209   1586    12.8   56  11070 7120   11.5
721 36 43    90  35043   2371    26.6   84  12483 7540   11.1
722 36 43   213  28656   1664    18.1   46  11221 7670    4.0
723 36 43   235  41747   1339    20.2   36  10476 7690   -3.7
724 36 43   261  68695    987    37.4   27   9956 8180    7.8
725 36 43   202  35398   1402    31.2   49  12960 9280    6.4
726 36 44   141  28270    942    15.7   37  10682 1350  -23.8
727 36 44   218  24235    606    14.8   30   9227 1400    5.8
728 36 44   139  24858   1968    13.3   57  10538 2370   13.3
729 36 44   186  27826   4185    15.0   41  11012 3850   19.7
730 36 44   126  41603    656    13.8   42  11546 5460  -16.3
731 36 44   202  19219   1602    20.4   30   8858 6140   14.9
732 36 44   167  33402   1809    13.3   67  11795 7010   -0.2
733 36 44   254  40880   1648    15.5   44   8866 8420    9.5
734 36 45   148  47768   1579    19.3   51  13053 2060    4.2
735 36 45    88  44075   3651    31.8   66  12618 2840    2.1
736 36 45   177  23243   1354    22.6   51  10355 4330    0.0
737 36 45   220  38387   1108    15.5   33  11105 4820   25.3
738 36 45   146  45579   1602    15.6   52  11563 6300  -11.7
739 36 45   106  20240   2546    14.7   67   9769 7200    2.8
740 36 45   100  45283   1933    43.4   98  14326 7650  -16.8
741 36 45   263  30813    867    20.9   29  12906 8410   -1.9
742 36 45   112  35349   2220    18.8   69  10400 8510   15.7
743 36 45    82  31518   2677    12.4  136  11600 8760    5.6
744 36 46    94  22535    822    19.9   35  10418   20   13.7
745 36 46   156  23072   1267    12.2   36   9707  440   14.3
746 36 46   100  18046   6080    15.7   66   9590  560   12.4
747 36 46   397  18903    694    16.7   28   8917  860   -3.5
748 36 46   283  21117    916    33.0   20   9372 1150   -0.1
749 36 46   152  17580   3629    22.5   89  11834 1170   -3.8
750 36 46    99  30119   1196    22.9   22  10928 1240   -7.4
751 36 46   187  21811   1896    22.4   50  13510 1380    2.2
752 36 46   265  24503   1680    20.7   31  10463 1810    6.2
753 36 46   125  35086   4715    14.8  131  15875 2010   -4.2
754 36 46   186  21500   1882    27.3   39  11228 2160   24.5
755 36 46   199  35590   4926    12.2  132  16741 2730   13.3
756 36 46   334  28949    921    38.1   29  10676 3040    5.4
757 36 46   318  22918    901    18.1   22   8437 3500    1.7
758 36 46   300  27917    553    30.9   15   9213 3800    7.3
759 36 46   236  20572   1629    21.8   40  12058 4030   -7.3
760 36 46   169  33705   2580    15.7   61  13067 4040    4.7
761 36 46   282  25500   1350    19.8   22   9768 4070    7.7
762 36 46   271  19963   1253    28.3   24   8119 4250    9.2
763 36 46   196  18548   1868     9.3   50  11444 4710    1.7
764 36 46   338  23731   1941    11.7   38   9438 6880   14.3
765 36 46   265  62297   1446    12.9   44  12812 6940   11.2
766 36 46   438  21442    888    23.6   25   9553 7000   -2.3
767 36 46   217  20705   1068    25.9   29   9351 8260    6.9
768 36 46   371  24661   1006    33.0   16   7465 8340    0.1
769 36 46   204  16366   1374    16.7   36   8423 8380    2.2
770 36 46   268  51341   1870    10.1   46  13283 8480   -2.0
771 36 46   139  26821   2395    30.8   63  11149 8820   14.7
772 36 46   261  85772   1022    22.3   49  13225 8830   -3.5
773 36 46   658  38677    408    48.5   10   8821 9000   -4.4
774 36 46   260  24708   1098    29.5   24   8963 9050    6.9
775 36 46   222  31178   1530    14.7   28   8088 9240   32.6
776 36 47   274  57261 154350    14.8 3508  16136  460   -0.4
777 36 47   279  59227 382701    13.4 1558  15838  960   12.9
778 36 47  1102 343364  15247    15.3  223  23293 2500   21.3
779 36 47   364 103783 176270     8.1 2203  24649 4110   -5.2
780 36 47   321  54699 292977    19.5 2886  16460 4210   -0.7
781 36 47   753  84983  23565     7.5  350  14972 7160   13.7
782 36 47  1147 369801   2271    12.3  191  24351 7730    8.8
783 36 47   348  73441 108021     9.3 2359  21437 7800   -3.3
784 36 47   699 193416  36229    18.1  299  22987 7870    8.3
785 36 47   641 200197  17939     7.8  340  18755 7900    5.1
786 36 48   502  98225   3765    14.3   44  12102  700   10.7
787 36 48   296  53764   2559    18.0   53  11357 1110    3.9
788 36 48   453  74959   1316    17.0   36  12350 1790   -0.9
789 36 48   294  52151   2603    36.8   75  10476 2260   -5.4
790 36 48   457  49816  10984     4.6  145   8300 2810   17.8
791 36 48   879 185409    578    16.4   11  18260 2930  -22.9
792 36 48   540  83171   1329    21.5   26  10900 3050   -1.0
793 36 48   367  99574   2201    15.4   44  12509 3910   14.3
794 36 48   309  69147   5719    18.3   74  11223 4670    2.0
795 36 48   617 115091   1468    16.8   31  11442 4870   17.8
796 36 48   265  56653   8863     9.4   94  13763 5020   34.8
797 36 48   546 111266   2973    12.8   36  15973 5630    3.9
798 36 48   351  50029   4074    11.0   43  11290 7180   -2.6
799 36 48   280  99746   7088    10.9   88  13948 8230   -1.8
800 36 48   441  87937   1240    11.2   26  13181 8390  -10.7
801 36 49   138  26984   4156    43.4   73  10761  540    2.3
802 36 49   186  27734   1297    22.8   43  12100  660   -2.4
803 36 49   199  20039   4529    14.9   48  11086 1220   11.0
804 36 49   143  24336   3213    16.0   65  11888 5650   20.7
805 36 49   244  32485   1952    14.1   59  12601 5850   -0.1
806 36 49   127  36404  16983    12.2  167  15913 6320    4.5
807 36 49   219  21701   1202    17.8   31   8887 7090   27.3
808 36 49   244  22989   2125    34.1   44  11266 7950   16.7
809 36 49   168  22190   4840    36.9   82  11819 8280    7.7
810 36 50   222  28809   3102    18.3   56  12832 1310   10.5
811 36 50   226  35638   2940    19.8   55  15062 2140   16.7
812 36 50   166  36020  11098    11.3  122  14298 2400    9.7
813 36 50   155  23876   3190    15.4   86  11591 2700   28.6
814 36 50   144  28417   3122    14.3   65  11352 3520    6.4
815 36 50   131  38709  14638     5.7  536  12948 4230   11.6
816 36 50   180  68259   6162    15.7  110  15227 4490   14.0
817 36 50   162  22495   4960    16.4   84  11965 5730   10.6
818 36 50   109  47600   3365    24.7  106  14580 8440   11.9
819 36 51   997 169668    534     3.5    5  13988 2290   10.5
820 36 51   190  49225   9111     9.7  245  15048 2740   16.5
821 36 51   224  64521   4423    11.5  100  17911 3150   20.4
822 36 51  2410 572526    189    13.4    2  16341 3710  -27.1
823 36 51   257  57721   6691    11.7  224  19602 4120   -3.6
824 36 51   464  54422    852     5.8  109  15304 4400   -6.5
825 36 51   249  49963   9502     6.0  300  15191 4790   17.2
826 36 51   223  79909   5351    15.2   98  16162 5090    6.6
827 36 51   278  53789   7505     7.6  301  15496 5140    5.3
828 36 51   377  65263   6061     5.6  188  16301 5790   13.0
829 36 51   418  87680   4118     8.1   70  14673 6090    4.1
830 36 51   147  34854   9187    15.4  258  12837 6720   20.0
831 36 51   307  58593   5746    10.3   65  13046 7170    6.3
832 36 51   219  35674   6277    23.4  315  13534 7240    4.8
833 36 51   248  58625  14644    15.6  234  14719 7490    3.3
834 36 51   556  89476   3033    22.8   25  10889 7680   11.8
835 36 51   180  40451  10460    16.0  185  11230 7700   23.1
836 36 51   466  73168  12331     6.5  460  16564 8430    0.1
837 36 51   375  66311   8016    16.7   66  10387 8800   -5.2
838 36 51   432  99670   6183     8.0   92  21887 9250   -7.8
839 36 52   663 276216   1867     9.4   29  16457  800    3.5
840 36 52   349  58122   3576    22.0   42   9732 1580   19.1
841 36 52   800 331824    686    22.6   11  12537 3580   -8.7
842 36 52   599 190118   1306    11.3   20  11126 4020   17.3
843 36 52   485  65275   2388     8.9   12  11395 4310    8.2
844 36 52   551 138714   2264     6.5   76  15473 4463   -2.9
845 36 52   321  50381   2845     8.9   54  12252 4466    5.4
846 36 52   240  58643  23360     5.9  371  16119 6970   19.2
847 36 52   680  98481    698    11.4    8   9773 8120   26.9
848 36 52   633  49624   1084    11.0   12   9846 8250   22.7
849 36 52   294  35901   4247    26.3   67  11081 8710    9.6
850 36 53   195  36910   2778    18.3   49  11079  300    8.3
851 36 53   242  38507   1956    15.9   54  12540 1130    4.9
852 36 53   607 163243    561    10.5   10  10862 2390    0.4
853 36 53   255  46758   2240    15.1   36  12412 2510    9.1
854 36 53    85  33178   6356    13.6   59   6423 2950   51.9
855 36 53   184  36331   2739     7.6  109  10134 2970   -5.1
856 36 53   110  30878   3373    17.8   62  11375 3390   14.6
857 36 53   175  46516   2651    18.6   62  12762 3490   11.8
858 36 53   185  39573    795    15.3   35   9548 3660   35.2
859 36 53   168  29848   2038    16.8   47  11447 3780   14.2
860 36 53   245  39288   1590    16.8   28   9649 3840   19.6
861 36 53   233  55704   1652    18.4   44  11314 4240   28.7
862 36 53   103  41407   4192    15.1  110  13631 4390   -1.0
863 36 53   729 203293    471    53.2   14  12512 6950   -5.7
864 36 53   181  39374   1696    11.3   34  11803 7380   16.4
865 36 53   172  46726   1314    16.2   28  11258 9060   10.4
866 36 53   129  50254   1368    15.2   26  11564 9070   12.8
867 36 54   125  29563   5071    25.1  108  13408  290    7.0
868 36 54   179  19025   2238    30.1   60   8683 1050   25.1
869 36 54   172  33266   2007    26.9   35  10769 3120    0.8
870 36 54   260  62711   2066    26.6   52  12241 4130   11.3
871 36 54   224  29902   2059    17.4   62  12027 4910    6.4
872 36 54   165  36342   6148    12.8  164  15158 4940   17.0
873 36 54   184  27971   4990    13.8  171  13610 5130   10.0
874 36 54   199  53022   8776    12.4  273  15225 6120   14.4
875 36 54   117  31804   4164    19.4  129  13127 6370    5.1
876 36 54   248  20087   2372    14.1   70  11708 7220   -9.7
877 36 54   218  21912   1741    22.8   48  10555 7500   -7.2
878 36 54   124  33507   5667    26.1   87  12229 7830   -9.1
879 36 54   337  30587   7278    11.9  215  14490 8670   31.5
880 36 54   196  35204   6584     9.9  190  15195 9100    3.5
881 36 54   137  28413   2232    26.3   61  11209 9220   15.6
882 36 55   619 152494  17260    11.5  464  36031  570   11.7
883 36 55   445  63815  28688     4.9  856  24173 2030    6.0
884 36 55   631  80808  18183    13.1 5510  29522 2470   -8.7
885 36 55   488 115537  40637     7.7 2258  31629 3420    0.7
886 36 55   383 137299  11801    10.0  425  33993 4630   27.5
887 36 55   405 126647  26104     7.6 1106  22705 5560    5.3
888 36 55   638 147322  16893     6.0  731  45134 5700    7.9
889 36 55   861 183946  10180     7.3  422  42612 5900    6.3
890 36 55   798 155052   4756     5.0  222  27530 6000    3.4
891 36 55   451  89243   4693    12.3 1805  24924 6220   32.7
892 36 55   680 215277   4658    12.1  204  48021 6870   13.5
893 36 55    57 170195   5371    29.8 4883  34082 7340  -54.1
894 36 55   356 123811  16833    11.3  561  25637 7850   23.5
895 36 55   476  87520  33763     8.4  920  21901 9320    4.6
896 36 56   118  24305   1896    28.0   43  10780  280   11.7
897 36 56    53   7744   5097    26.3  150   2884  370   56.7
898 36 56   189  28848   3077    25.6   56  12819  620    5.4
899 36 56   142  39761   2011    17.1   56  12104 1340   13.5
900 36 56   255  28377   1304    29.9   50  10487 2070   17.8
901 36 56   271  20744   1143    25.2   31   8840 2450   -5.0
902 36 56   165  27407   1116    29.5   33  10192 3110    9.8
903 36 56   396  28300    475    20.9   31   8868 3190  -11.8
904 36 56   182  24899   2182    32.9   46  10334 4260   -3.3
905 36 56   315  32294   1054    28.1   30  11124 5270    0.0
906 36 56   357  27559   1117    25.6   31  11321 6160    1.1
907 36 56   162  38606   1113    27.3   33  13047 6510   -8.5
908 36 56   248  26006    712    25.8   24  10142 6630   11.7
909 36 56   206  27073   2456    18.5   52  11341 7720   -5.9
910 36 56   114  29185   1523    20.9   49  13006 8720    3.9
911 36 56   434  33139    818    39.0   23   9983 9020   17.8
912 36 57   348  70896   1216    14.8   34  11464  530    9.5
913 36 57   153  29379   2460    15.6   59  11580  640   20.1
914 36 57   276  33809   1153    29.3   29   9650 4220   17.5
915 36 57   166  57315   3759    15.7   64  11629 4290   -3.2
916 36 57   416  56460   1273    18.1   41  12475 5290   10.8
917 36 57    87  62783   1832    20.0   50  11689 5330   19.1
918 36 57   204  22310   1653    18.6   44  10216 6850   12.6
919 36 57   124  40940   1640    20.5   52   9912 8030   20.8
920 36 57   294 107898    919    20.6   41  10329 8310   -5.6
570 36 33   NA  116000   10685     6.1   249  28300 8400    2.5
570 36 33   NA  155034   29246     7.0   656  25000 8400    2.5
